"","(Intercept)","Mkt.RF","SMB","HML","date"
"1",-0.666242419821013,1.40338433163016,0.165126253287642,1.32602559568779,2017-01-06
"2",-0.661495266113177,1.40393558644524,0.165902795117928,1.32212302394604,2017-01-13
"3",-0.665156748128931,1.3960640316201,0.169865996257862,1.32426763769505,2017-01-20
"4",-0.737770987981515,1.40363936171426,0.149770617545756,1.31550695877178,2017-01-27
"5",-0.721411451184751,1.3890130329177,0.162927798161143,1.29422365139469,2017-02-03
"6",-0.759820335390439,1.35586927082141,0.197411602820849,1.32918891486449,2017-02-10
"7",-0.803193771778751,1.31884049468467,0.246708496652091,1.32825483865073,2017-02-17
"8",-0.792010244616323,1.31186592087399,0.26384506954347,1.32573807440812,2017-02-24
"9",-0.77518538099275,1.31203624343799,0.258869238062496,1.32230703462895,2017-03-03
"10",-0.774654497174382,1.30418551430602,0.287861515362948,1.33853337283501,2017-03-10
"11",-0.799791936724424,1.28582723109425,0.292780587027808,1.35431840660694,2017-03-17
"12",-0.803810665024176,1.29568183817186,0.274182226856958,1.33677594284616,2017-03-24
"13",-0.694848409101792,1.28849100830514,0.391822762259455,1.39146805218905,2017-03-31
"14",-0.751996963332322,1.24321517054004,0.450977927917655,1.44495844863472,2017-04-07
"15",-0.770059252144932,1.25180278519942,0.44432979008919,1.42845946136536,2017-04-13
"16",-0.815291156636218,1.25242202056241,0.395065859607158,1.43809465918978,2017-04-21
"17",-0.816828119464772,1.24913710125319,0.380950929265443,1.45675995874516,2017-04-28
"18",-0.839816879299328,1.24003213050056,0.400808341976077,1.46608411364499,2017-05-05
"19",-0.801171564212741,1.23817491829742,0.400686585268076,1.44179595622897,2017-05-12
"20",-0.78891800752675,1.23811275437355,0.390728701065626,1.43725906368194,2017-05-19
"21",-0.835991982491093,1.20282936527543,0.424339953865333,1.46503368343562,2017-05-26
"22",-0.853090900441074,1.19673375390948,0.416515162608658,1.48934209895645,2017-06-02
"23",-0.901380416815612,1.21287406675878,0.390373472782114,1.40674501495461,2017-06-09
"24",-0.856662375839694,1.22048633234228,0.356194428345677,1.3875769012385,2017-06-16
"25",-0.854570426987478,1.22026671849299,0.358254064650891,1.38181706633659,2017-06-23
"26",-0.93380561440378,1.24399188560206,0.355140404875874,1.27382596156743,2017-06-30
"27",-0.967983968765029,1.24249580612161,0.364954644013116,1.27025303260037,2017-07-07
"28",-0.947647028604499,1.27253127271289,0.321702702947257,1.24589231867343,2017-07-14
"29",-0.936779995642815,1.25169617234467,0.305611920267427,1.24662865353266,2017-07-21
"30",-0.867849698315359,1.26561948255941,0.278074880186378,1.2479979422872,2017-07-28
"31",-0.865939763327001,1.25722763033522,0.287147199721948,1.24897559844013,2017-08-04
"32",-0.86414528084641,1.25436198939136,0.28671942658068,1.24451651608446,2017-08-11
"33",-0.876646907786786,1.21913675680374,0.339188001251548,1.25254418211782,2017-08-18
"34",-0.928238946891715,1.2028911840031,0.342083868781011,1.26066884176223,2017-08-25
"35",-1.01198504838477,1.31241557747643,0.209580825403648,1.25265053394409,2017-09-01
"36",-0.995047584832177,1.29483918005692,0.226726090258446,1.2460417346349,2017-09-08
"37",-1.07065159018677,1.32321880073451,0.154756051057881,1.27801898326354,2017-09-15
"38",-1.0249676154781,1.31195588323115,0.106348721696361,1.35298223944087,2017-09-22
"39",-1.10370478877848,1.2501706498629,0.223529170216219,1.32584102872764,2017-09-29
"40",-1.1643859427642,1.19024246787262,0.22994048332329,1.30201728823403,2017-10-06
"41",-1.15860490910298,1.18877098299969,0.230056908053622,1.30133356059777,2017-10-13
"42",-1.15479439970111,1.20867999348877,0.200812978227638,1.29806170171419,2017-10-20
"43",-1.15638137388308,1.20897973959017,0.199462030938369,1.30519778100178,2017-10-27
"44",-1.15802289126755,1.23838492418524,0.100132905326413,1.29100984648427,2017-11-03
"45",-1.12961318283479,1.21423987697459,0.102641134300995,1.28746573552388,2017-11-10
"46",-1.20571706540339,1.24323504464544,0.0261194635757347,1.28846288264646,2017-11-17
"47",-1.24512294211428,1.27519866577203,-0.0560145623162395,1.30559489170725,2017-11-24
"48",-1.23652481110872,1.25000331264884,-0.0504832730844781,1.27136251316425,2017-12-01
"49",-1.28523740142928,1.28279180214346,-0.041169240306703,1.28616495211642,2017-12-08
"50",-1.25928984392156,1.27229544112306,-0.030454011227954,1.27628901273478,2017-12-15
"51",-1.22514818252147,1.22965106079774,0.0225519942083586,1.27720072497194,2017-12-22
"52",-1.22732908682402,1.23129075986905,0.0144694972469467,1.27554764607049,2017-12-29
"53",-1.25085157173757,1.25827620684045,0.0115252195353698,1.27326244067053,2018-01-05
"54",-1.16716245823751,1.17797924953593,0.0130733934225344,1.27559830931906,2018-01-12
"55",-1.1644541216009,1.18211511412861,0.0302233604351393,1.25495415487626,2018-01-19
"56",-1.16035082750446,1.17410969368238,0.0399051473509713,1.30452913745347,2018-01-26
"57",-0.944858956881925,0.919038552603395,0.0424981866806853,1.40291350513798,2018-02-02
"58",-1.12869265494425,1.18379608880867,-0.14007092729141,1.40125754348985,2018-02-09
"59",-1.12610108359864,1.16534293024163,-0.125245323147766,1.39862330390835,2018-02-16
"60",-1.11604078401192,1.15509001410066,-0.141876053524491,1.39072705773035,2018-02-23
"61",-1.24310622406862,1.03813644263219,-0.236626050306916,1.21034210444945,2018-03-02
"62",-1.22634302248328,1.00067170758229,-0.246262201737359,1.24459210751592,2018-03-09
"63",-1.27066099233284,0.969303322238636,-0.217154288147461,1.2401605958627,2018-03-16
