"","(Intercept)","Mkt.RF","date"
"1",-0.539102901484558,1.45196771736783,2017-01-06
"2",-0.542786191711604,1.45058480178137,2017-01-13
"3",-0.545006336516478,1.44740169487821,2017-01-20
"4",-0.604299581358574,1.44688637076571,2017-01-27
"5",-0.613769837931648,1.41949609862445,2017-02-03
"6",-0.648402461774064,1.40289213560574,2017-02-10
"7",-0.679168776779847,1.38000211308383,2017-02-17
"8",-0.674433342870729,1.37587380307187,2017-02-24
"9",-0.656423444918543,1.37149473103787,2017-03-03
"10",-0.691945112299543,1.3791505450318,2017-03-10
"11",-0.70461081152029,1.37343163625292,2017-03-17
"12",-0.742710258329782,1.39649978284786,2017-03-24
"13",-0.640816333729969,1.42671741287044,2017-03-31
"14",-0.67946546208685,1.41221550030169,2017-04-07
"15",-0.72675896434481,1.42925457823327,2017-04-13
"16",-0.744856419453611,1.42803818191779,2017-04-21
"17",-0.785826641638246,1.42121599949706,2017-04-28
"18",-0.821167903176318,1.41705923615131,2017-05-05
"19",-0.796971988050376,1.41746758185771,2017-05-12
"20",-0.793128546753149,1.41579436084317,2017-05-19
"21",-0.855895582661848,1.38641681270011,2017-05-26
"22",-0.899852647233962,1.37441913836909,2017-06-02
"23",-0.904335902665016,1.37343838147226,2017-06-09
"24",-0.852751763374498,1.37486916457215,2017-06-16
"25",-0.908400959651035,1.37482793911394,2017-06-23
"26",-0.927733640340245,1.37901309459334,2017-06-30
"27",-0.945326914718709,1.37924731273025,2017-07-07
"28",-0.9145021223034,1.40804609239895,2017-07-14
"29",-0.901938651809651,1.37698573294543,2017-07-21
"30",-0.813742973155624,1.38583582343085,2017-07-28
"31",-0.816923048828814,1.38423335974749,2017-08-04
"32",-0.841708480603298,1.38632732817406,2017-08-11
"33",-0.881834705274141,1.39616296708561,2017-08-18
"34",-0.915175857274685,1.38646038202926,2017-08-25
"35",-1.01204342714637,1.44934376764765,2017-09-01
"36",-0.99620258750046,1.45968198249798,2017-09-08
"37",-1.02388040844866,1.46849933441099,2017-09-15
"38",-1.00416874422798,1.47893485052536,2017-09-22
"39",-1.08778161274103,1.463826330074,2017-09-29
"40",-1.1680857582202,1.37515846378931,2017-10-06
"41",-1.16233404073454,1.37440521310134,2017-10-13
"42",-1.14780747916432,1.38592974436881,2017-10-20
"43",-1.12836280296535,1.38537445185534,2017-10-27
"44",-1.13830812431885,1.3689261603319,2017-11-03
"45",-1.12850102208413,1.35451173776343,2017-11-10
"46",-1.18572615274561,1.3694141473742,2017-11-17
"47",-1.2154614235931,1.36316116542958,2017-11-24
"48",-1.18926161515042,1.35314972221108,2017-12-01
"49",-1.20974552422007,1.35778585705263,2017-12-08
"50",-1.18402080753271,1.34581164053184,2017-12-15
"51",-1.15792656565482,1.3168334691094,2017-12-22
"52",-1.15417346164059,1.31146397103514,2017-12-29
"53",-1.20614774735525,1.36475674096985,2018-01-05
"54",-1.11621710206551,1.29450214439428,2018-01-12
"55",-1.10740805975638,1.31595158046229,2018-01-19
"56",-1.14017574523663,1.26558147041443,2018-01-26
"57",-0.954489374432567,1.05322600350666,2018-02-02
"58",-1.10017367106454,1.22790295950829,2018-02-09
"59",-1.08928854045965,1.22722730307841,2018-02-16
"60",-1.08411740891438,1.21315495112417,2018-02-23
"61",-1.23492405732333,1.03113509648515,2018-03-02
"62",-1.23392628503141,0.983038185298801,2018-03-09
"63",-1.28612746322691,0.961008864145312,2018-03-16
"64",-1.07320091937205,0.7161924152833,2018-03-23
"65",-1.0671724210578,0.722398709358291,2018-03-29
"66",-1.14637019700556,0.764245119144968,2018-04-06
"67",-1.14675971594395,0.766924260207103,2018-04-13
"68",-1.24671411814208,0.747692037744007,2018-04-20
"69",-1.30829734841814,0.769577869548782,2018-04-27
"70",-1.20193816667949,0.73382076898083,2018-05-04
"71",-1.22090486897171,0.741952875755983,2018-05-11
"72",-1.26350096623779,0.744159100907681,2018-05-18
"73",-1.35002985435484,0.73971470039764,2018-05-25
"74",-1.33719639773277,0.742099818136326,2018-06-01
"75",-1.36841678653741,0.737406036425629,2018-06-08
"76",-1.45848255664951,0.74775599928662,2018-06-15
"77",-1.43046490306004,0.735486869422245,2018-06-22
"78",-1.40374628339463,0.72722631751975,2018-06-29
"79",-1.40963061306377,0.719191448167646,2018-07-06
"80",-1.42153619700833,0.711432005524616,2018-07-13
"81",-1.43397222985776,0.719779083510189,2018-07-20
"82",-1.45037345290443,0.721142320202555,2018-07-27
"83",-1.48112460317532,0.716387762181964,2018-08-03
"84",-1.52531443419593,0.719661690947388,2018-08-10
"85",-1.63639752339159,0.719649601591968,2018-08-17
"86",-1.62011080855765,0.719263343347229,2018-08-24
"87",-1.61388447559305,0.718002539868068,2018-08-31
"88",-1.76159614014989,0.820747185944451,2018-09-07
"89",-1.70284418819723,0.831293897065624,2018-09-14
"90",-1.69406246926086,0.831064678700124,2018-09-21
"91",-1.79270533277641,0.836767338157671,2018-09-28
"92",-1.83697007274263,0.853512904330156,2018-10-05
"93",-1.87380346931314,0.919877123470297,2018-10-12
"94",-1.92661443935615,0.927061978251535,2018-10-19
"95",-2.09913687850896,1.03683351264905,2018-10-26
"96",-2.12662118969689,0.969637603101667,2018-11-02
"97",-2.1716944853367,0.938644235717496,2018-11-09
"98",-2.21079742448532,0.940457968525591,2018-11-16
"99",-2.25906033324494,0.958407661942243,2018-11-23
"100",-2.36179511367357,0.949532574367059,2018-11-30
"101",-2.37253809441117,0.880007945049956,2018-12-07
"102",-2.44870607449564,0.902640503488982,2018-12-14
"103",-2.48827647209204,0.964469789725351,2018-12-21
"104",-2.51346974300792,0.948892796970655,2018-12-28
"105",-2.53551920506382,0.93733744655784,2019-01-04
"106",-2.55769347037035,0.928987353423404,2019-01-11
"107",-2.60358999092093,0.912768089031801,2019-01-18
"108",-2.62114827830664,0.921723287548797,2019-01-25
"109",-2.66397551317768,0.918913870233526,2019-02-01
"110",-2.72167974864279,0.918598577994749,2019-02-08
"111",-2.6655808604064,0.944366697665789,2019-02-15
"112",-2.69531577470537,0.940963321554481,2019-02-22
"113",-2.7614039486661,0.934460040335641,2019-03-01
"114",-2.79236539845036,0.962614196049327,2019-03-08
"115",-2.81925662211147,0.952403041301369,2019-03-15
"116",-2.85296034378025,0.963018249701797,2019-03-22
"117",-3.00247454355879,0.928364443953732,2019-03-29
"118",-3.0597353318391,0.906969695018727,2019-04-05
"119",-3.07612858863338,0.909534416598736,2019-04-12
"120",-3.10649102369893,0.916111639311283,2019-04-18
"121",-3.18353830927746,0.894605813726158,2019-04-26
"122",-3.20399991662982,0.895182873441255,2019-05-03
"123",-3.22765074802359,0.896246477138282,2019-05-10
"124",-3.2648928750996,0.902620211588497,2019-05-17
"125",-3.27067470730485,0.930253635532324,2019-05-24
"126",-3.26425651692568,0.939580803912862,2019-05-31
"127",-3.33775398726643,0.894225617970315,2019-06-07
"128",-3.41057237119532,0.896611254152084,2019-06-14
"129",-3.39561685021382,0.894823641070764,2019-06-21
"130",-3.39850700555546,0.895365058860277,2019-06-28
"131",-3.43332330707157,0.88143000810691,2019-07-05
"132",-3.43639794087669,0.878885564634463,2019-07-12
"133",-3.45718605683082,0.885629645110509,2019-07-19
"134",-3.58207603326599,0.871188332386777,2019-07-26
"135",-3.61741514871621,0.882497270129404,2019-08-02
"136",-3.67226794134174,0.894284722172006,2019-08-09
"137",-3.6980449966258,0.903323715363726,2019-08-16
"138",-3.72679110378668,0.904392783276353,2019-08-23
