"","date","regression.beta","beta"
"1",2016-01-08,1.41177548863904,1.41175658885684
"2",2016-01-15,1.44636769656532,1.4463107458394
"3",2016-01-22,1.44576135463578,1.44563135158006
"4",2016-01-29,1.45187931694401,1.45176227597318
"5",2016-02-05,1.54910583653964,1.54888690953899
"6",2016-02-12,1.54975531022403,1.54957980660896
"7",2016-02-19,1.51909387655456,1.51884157026448
"8",2016-02-26,1.52248721425455,1.52225121017828
"9",2016-03-04,1.64425747635834,1.64422754861359
"10",2016-03-11,1.65779941384859,1.65772518000761
"11",2016-03-18,1.67448925083979,1.67445901842345
"12",2016-03-24,1.69466261385929,1.69457459444959
"13",2016-04-01,1.68032862063831,1.6802025511205
"14",2016-04-08,1.70258027189001,1.70253056455101
"15",2016-04-15,1.70793871967369,1.70791149747954
"16",2016-04-22,1.71742467038072,1.71746875921832
"17",2016-04-29,1.70219173829798,1.70227047362552
"18",2016-05-06,1.71682901606066,1.71683982914597
"19",2016-05-13,1.71376152708457,1.71379545267483
"20",2016-05-20,1.71527263420751,1.71531888582916
"21",2016-05-27,1.70417088216912,1.70419018441802
"22",2016-06-03,1.70630448133035,1.70632219263956
"23",2016-06-10,1.71487576661066,1.7149253947883
"24",2016-06-17,1.70518893909505,1.70526432772426
"25",2016-06-24,1.70057795521093,1.7006794987868
"26",2016-07-01,1.66918688032097,1.66921247862279
"27",2016-07-08,1.65579130651276,1.65576592402207
"28",2016-07-15,1.6538276499423,1.65379063226828
"29",2016-07-22,1.64780482164139,1.64772256116066
"30",2016-07-29,1.63997124528668,1.6399020795322
"31",2016-08-05,1.63903469525727,1.63896126034212
"32",2016-08-12,1.64503205179162,1.64497154453832
"33",2016-08-19,1.65485916096035,1.65483619299814
"34",2016-08-26,1.6552594859625,1.65523581739847
"35",2016-09-02,1.65162788568098,1.65156564294008
"36",2016-09-09,1.59903682265401,1.59906411698611
"37",2016-09-16,1.58775486681027,1.58773034369178
"38",2016-09-23,1.58340607665554,1.58336918924566
"39",2016-09-30,1.57881103611086,1.57884134920812
"40",2016-10-07,1.57579125939483,1.57586896652541
"41",2016-10-14,1.58204629594829,1.58209903343576
"42",2016-10-21,1.61877411883667,1.61878851125426
"43",2016-10-28,1.60406850571505,1.60415737874272
"44",2016-11-04,1.61399128124573,1.61406760512685
"45",2016-11-11,1.58317338227785,1.5831502981492
"46",2016-11-18,1.579992537241,1.57998623735882
"47",2016-11-25,1.58465918187608,1.58456906065732
"48",2016-12-02,1.5617589411473,1.56183367011519
"49",2016-12-09,1.54638139196898,1.54644436165227
"50",2016-12-16,1.46037653833185,1.46056983897083
"51",2016-12-23,1.46582625814452,1.46597009295411
"52",2016-12-30,1.47246210991738,1.47262032209271
"53",2017-01-06,1.45711266667129,1.45720340215154
"54",2017-01-13,1.45378525099765,1.45387897751776
"55",2017-01-20,1.45154160065783,1.45164889747913
"56",2017-01-27,1.45604136378193,1.45610002176402
"57",2017-02-03,1.42827501074061,1.42840182016328
"58",2017-02-10,1.41369140043587,1.41381442743392
"59",2017-02-17,1.389378105746,1.38931803156321
"60",2017-02-24,1.38333386493272,1.3832156123472
"61",2017-03-03,1.37844205228052,1.37834554932221
"62",2017-03-10,1.38426744479245,1.38406323909699
"63",2017-03-17,1.38257201304271,1.38235491693807
"64",2017-03-24,1.4041924434931,1.40398835494755
"65",2017-03-31,1.43031567324865,1.43048244580891
"66",2017-04-07,1.41390382554182,1.4141209362932
"67",2017-04-13,1.42645240834855,1.42674267215498
"68",2017-04-21,1.43342866170008,1.43357744546197
"69",2017-04-28,1.4282333092801,1.42833909071845
"70",2017-05-05,1.42395622761342,1.42393037005211
"71",2017-05-12,1.42231981739627,1.4223334558977
"72",2017-05-19,1.41892410852774,1.4190241941881
