"","time","book_leverage","market_leverage","gross_profit_margin","net_profit_margin","price_to_earnings_ratio","market_to_book_ratio","interest_coverage","return_on_equity","return_on_assets","cash_from_financing_activities","cash_from_investing_activities","cash_from_operating_activities","equity_beta","debt_rating","debt_beta","total_debt","market_cap","beta_unlevered"
"1","2015q1",0.257177457129474,0.457650998978739,0.580482115085537,0.0352514256091239,231.766766456176,0.720208388754613,2.76237623762376,0.00555011426705844,0.00247178350084513,-1.019e+09,-3.314e+09,2.068e+09,NA,"A-",0.1,2.2511e+10,63040560476.08,NA
"2","2015q2",0.286237626036427,0.458340962548825,0.610514892077656,-0.021584468829133,0,0.722414238027975,1.43333333333333,-0.0036553738079193,-0.00159817147754971,1.555e+09,-2.466e+09,1.974e+09,NA,"A-",0.1,2.4925e+10,62906387019,NA
"3","2015q3",0.307076414419305,0.423779800133324,0.549848526576701,-0.147480033048747,0,0.615051489015026,8.25416666666667,-0.024037706205813,-0.0101086371744896,-9.9e+08,-2.249e+09,1.934e+09,NA,"A-",0.1,2.4891e+10,49854843596.58,NA
"4","2015q4",0.342680844030632,0.380483175238742,0.572540918480852,-0.548228190052439,0,0.6774852201179,19.8470149253731,-0.0860735492240906,-0.0353904230437815,-9.75e+08,-6.26e+08,1.596e+09,NA,"A-",0.1,2.488e+10,49188136921.44,NA
"5","2016q1",0.418519728896404,0.443115335149221,0.565514547939855,-0.286858035539934,0,0.609348659260291,8.91459074733096,-0.0372776410282437,-0.0147144259470721,4.137e+09,-2.065e+09,4.21e+08,1.69457233830964,"A",0.05,2.9455e+10,42885349290.08,1.02494772769758
"6","2016q2",0.425620018700744,0.686546907740262,0.62565445026178,-0.200261780104712,0,0.69317466711029,6.26923076923077,-0.0283101160423991,-0.0111499781372978,-1.12e+09,-2.122e+09,1.259e+09,1.70067677946742,"A",0.05,2.8677e+10,46704029545.89,1.07271430283436
"7","2016q3",0.437365652869883,0.583250389129805,0.560561184723305,-0.162120031176929,0,0.714383971467032,5.93731343283582,-0.0285275400482774,-0.0110305035849137,-3.47e+08,2.75e+08,1.28e+09,1.57883912831395,"A",0.05,2.8689e+10,46860016608.38,0.99827742518076
"8","2016q4",0.436420948205514,0.501554654103077,0.567043618739903,-0.00514025554413277,0,0.870136374242124,1.02523659305994,-0.000993584284335434,-0.000389876576215301,-1.906e+09,5.3e+07,1.443e+09,1.47261913462814,"A",0.05,2.7275e+10,54380912981.01,0.997430804959886
"9","2017q1",0.429571971789788,0.45006705301211,0.575418994413408,0.0779462623038042,92.6350195522867,0.882123589613572,1.73650793650794,0.0164602117918036,0.00666113466631807,-1.344e+09,-9.74e+08,1.79e+09,1.43048153242813,"A",0.05,2.6435e+10,54284121457.64,0.978382591672332
"10","2017q2",0.430321255684319,0.358889837480016,0.569090104704321,-0.507299808287863,0,0.868038086509828,15.2516339869281,-0.112790583297813,-0.0441003025485873,-4.599e+09,7.197e+09,1.751e+09,1.38249806567742,"A",0.05,2.3468e+10,47339325085.9,0.940862054609624
"11","2017q3",0.389995729431643,0.315980122202487,0.5625,0.062799043062201,129.112518412762,1.00687483026088,-1.60159362549801,0.0136754363115395,0.00561039793751085,-3.827e+09,2.008e+09,1.055e+09,1.47100330941497,"A",0.05,2.1004e+10,54227257733.36,1.07426989819464
"12","2017q4",0.367189101548668,0.471703236852055,0.576918339697007,0.194482079073778,37.1980319399113,1.09461026916491,-4.86283185840708,0.0512645693321645,0.0215234044873368,-2.586e+09,-4.69e+08,2.481e+09,1.35979448285251,"A",0.05,1.9703e+10,58735692433.12,1.03078745972235
"13","2018q1",0.317542519699708,0.346546973861294,0.577858604228234,0.10093203000682,70.5804681533333,1.16755380339711,-8.65217391304348,0.0289081320398463,0.0125553183367031,-3.776e+09,-7.8e+07,2.399e+09,0.691913025988918,"A",0.05,1.7046e+10,62675455720.16,0.554659518232911
"14","2018q2",0.277491568140543,0.275353964822712,0.63969896519285,0.192850423330198,44.883454356878,1.36408704542604,-13.7966101694915,0.0525270642495676,0.0237901821979807,-3.003e+09,-1.949e+09,3.342e+09,0.710353732750973,"A",0.05,1.4974e+10,73608865145.28,0.598727892042433
"15","2018q3",0.269929264385608,0.255330266465769,0.626415493703037,0.19695205841888,43.8548917145836,1.46896008712972,-14.6236559139785,0.0580130303313694,0.0263762118033902,-1.263e+09,-1.638e+09,3.41e+09,0.853177188576699,"A",0.05,1.4997e+10,81613953480.84,0.728499314452689
"16","2018q4",0.272086090307569,0.228901614428195,NA,0.171171996701182,35.0056419905782,1.18865955134153,-13.2127659574468,0.0582584830339321,0.0266933409545584,-1.317e+09,-1.78e+08,3.783e+09,0.845407587540634,"A",0.05,1.4968e+10,65390539238.4,0.69725082805814
"17","2019q1",0.264265379378636,0.224829695596846,0.598360655737705,0.200327868852459,37.801092232144,1.22521178472442,-10.5321888412017,0.0555774536854553,0.0256370807575037,-1.173e+09,-1.477e+09,2.894e+09,0.913903012206397,"A",0.05,1.4945e+10,69289402061.52,0.76062798203529
"18","2019q2",0.264883382441691,0.3572667818882,0.663774676222809,0.198667169621526,40.1355517169937,1.12560211070414,-11.4727272727273,0.0477716635423596,0.0221720155484767,-1.654e+09,-1.461e+09,2.891e+09,0.871503434292682,"A",0.05,1.4923e+10,63414171712.85,0.715009454718248
"19","2019q3",0.269216889209672,0.303325170128505,NA,0.36783822821377,18.9113680271237,1.04282101571436,-17.9836956521739,0.0867220976758705,0.0434461188512937,-1.132e+09,1.5e+08,2.337e+09,0.890059091479928,"A",0.05,1.492e+10,57793140690.89,0.717687474385814
"20","2019q4",0.267804167640554,0.273901249234293,NA,0.077477671365544,92.3229664539722,1.19514079445621,-5.56122448979592,0.0205420827389444,0.0102107382931049,-1.27e+09,-3.83e+09,2.982e+09,0.901371740894145,"A",0.05,1.4895e+10,66472535846.86,0.745521106502497
"21","2020q1",0.299101078705553,0.254921656317394,NA,-0.358335050484237,0,0.61911880107471,8.73762376237624,-0.055405104023959,-0.0267402703242969,-1.23e+09,-1.932e+09,2.105e+09,1.23055666762453,"A",0.05,1.4973e+10,30993087181.8,0.846001965058046
"22","2020q2",0.312146187146187,0.229360396391907,0.669590643274854,0.0760233918128655,164.226387769615,0.888670929489261,0.896039603960396,0.00825580287682977,0.0041239729721156,-6.49e+08,-5.3e+08,1.57e+08,1.17255662452042,"A",0.05,1.4998e+10,42698860820.1,0.880753846773943
"23","2020q3",0.322105924220222,0.23147905829031,NA,-0.102669404517454,0,0.709079608122252,3.56,-0.0146184582399376,-0.00712510093892997,-1.77e+08,-1.116e+09,8.68e+08,1.14706293969633,"A",0.05,1.5387e+10,33872732880,0.804379241142192
"24","2020q4",0.325276725433343,0.367944325594033,NA,-0.127582217815237,0,0.884037890537366,6.37623762376238,-0.0258635130155114,-0.0123287233702769,-6.52e+08,-5.43e+08,1.672e+09,1.23001984859095,"A",0.05,1.5369e+10,41769906290,0.912622715349565
