"","date","regression.beta","beta"
"1",2016-01-29,1.05538556455575,1.04957664344011
"2",2016-02-29,1.04661260260251,1.04132656041141
"3",2016-03-31,1.15520301460911,1.15065317868733
"4",2016-04-29,1.15205976176196,1.14777057725325
"5",2016-05-31,1.13162232995358,1.12642487803619
"6",2016-06-30,1.15155397834705,1.14637912854373
"7",2016-07-29,1.11883777820903,1.11238472600795
"8",2016-08-31,1.1341210078093,1.1274133455434
"9",2016-09-30,1.148018596872,1.14093582322896
"10",2016-10-31,1.12953173313456,1.12755284271256
"11",2016-11-30,1.17936022115757,1.17794933102992
"12",2016-12-30,1.1827863946173,1.18153009115147
"13",2017-01-31,1.24769888221208,1.24591743773553
"14",2017-02-28,1.16104013773065,1.16086459845121
"15",2017-03-31,1.16492752532409,1.16529614215089
"16",2017-04-28,1.15175848336332,1.15168292697736
"17",2017-05-31,1.22652897632839,1.22559688734513
"18",2017-06-30,1.20644942773099,1.20538176855757
"19",2017-07-31,1.21244964645134,1.21169089655899
"20",2017-08-31,1.21227625861564,1.21117519787023
"21",2017-09-29,1.24293088166306,1.24375092708926
"22",2017-10-31,1.28408631555416,1.28512956127025
"23",2017-11-30,1.2706713468431,1.27104234738877
"24",2017-12-29,1.26894890915753,1.27089434196383
"25",2018-01-31,1.32727127885507,1.32870539955709
"26",2018-02-28,1.33879166185512,1.34027664076691
"27",2018-03-29,1.23323846460295,1.23809042948119
"28",2018-04-30,1.21909745919916,1.22637046901747
"29",2018-05-31,1.22078455523464,1.22825846371977
"30",2018-06-29,1.22123012968005,1.22970251953318
"31",2018-07-31,1.19821970759548,1.20687493486996
"32",2018-08-31,1.24936089647654,1.2582126376207
"33",2018-09-28,1.23383006674951,1.24442768650252
"34",2018-10-31,1.22688946535765,1.23694152428872
"35",2018-11-30,1.22996023309434,1.23761161173358
"36",2018-12-31,1.14477505959936,1.15224444985208
"37",2019-01-31,1.11780837952488,1.12427479420955
"38",2019-02-28,1.11625740196867,1.12206874019961
"39",2019-03-29,1.11115898441649,1.11666548487027
"40",2019-04-30,1.06670719832552,1.07064596519922
"41",2019-05-31,1.03511849328862,1.03972546260058
"42",2019-06-28,0.999125279930299,1.00353100865283
"43",2019-07-31,0.995069744326741,0.998994387157647
"44",2019-08-30,1.04854522097754,1.05092579426779
"45",2019-09-30,1.04887535160027,1.05187521200143
"46",2019-10-31,1.05750050841342,1.05944629584887
"47",2019-11-29,1.10484263050642,1.10582401962177
"48",2019-12-31,1.13026940553083,1.13219860039722
"49",2020-01-31,1.1153566088331,1.11635844901881
"50",2020-02-28,1.21893868594791,1.21931446717336
"51",2020-03-31,1.50442532694739,1.50429812198805
"52",2020-04-30,1.7145285897728,1.71479582976988
"53",2020-05-29,1.69700803549375,1.69731998424273
"54",2020-06-30,1.69706222399069,1.69787381877753
"55",2020-07-31,1.6389301525037,1.63944450022086
"56",2020-08-31,1.64767668292156,1.65039203546917
"57",2020-09-30,1.68292593131395,1.68649524618126
"58",2020-10-30,1.69950601023461,1.703127193622
"59",2020-11-30,1.88592927440963,1.88953563846398
"60",2020-12-30,1.85907574037437,1.86247216761348
