"","date","regression.beta","beta"
"1",2016-01-04,1.19143113226757,1.19140937310031
"2",2016-01-05,1.18907459301856,1.1890550225626
"3",2016-01-06,1.2057903135386,1.20576540391472
"4",2016-01-07,1.20384047367151,1.20381715495604
"5",2016-01-08,1.22408613157358,1.22406432245058
"6",2016-01-11,1.22204269621183,1.22200897313643
"7",2016-01-12,1.21136524808534,1.21132380615653
"8",2016-01-13,1.20829436433255,1.20825474865277
"9",2016-01-14,1.23363234547905,1.23360182632507
"10",2016-01-15,1.25422038421404,1.25418931498655
"11",2016-01-19,1.25105379350751,1.25100605626348
"12",2016-01-20,1.25660485635034,1.25655312772865
"13",2016-01-21,1.27244673330995,1.27240850231036
"14",2016-01-22,1.27158104893738,1.27154121069848
"15",2016-01-25,1.31276497106147,1.31271522753722
"16",2016-01-26,1.32688085895715,1.32683400090907
"17",2016-01-27,1.30906426461206,1.30902609096148
"18",2016-01-28,1.31807566595946,1.31804786559052
"19",2016-01-29,1.31252119507106,1.31249300037692
"20",2016-02-01,1.31251380310133,1.31248267534812
"21",2016-02-02,1.33139143880076,1.33135572739284
"22",2016-02-03,1.34180213229211,1.34178072855579
"23",2016-02-04,1.33455258403579,1.33450648502925
"24",2016-02-05,1.36767121393402,1.36761689457235
"25",2016-02-08,1.32829046422737,1.32825461821993
"26",2016-02-09,1.32976983895231,1.32972738953536
"27",2016-02-10,1.32934740437813,1.32929578641334
"28",2016-02-11,1.32219000319093,1.32214308825416
"29",2016-02-12,1.33076687897986,1.33072254705616
"30",2016-02-16,1.31974209976402,1.3196912365979
"31",2016-02-17,1.3392471411026,1.33919812756809
"32",2016-02-18,1.33989923767809,1.33985060344207
"33",2016-02-19,1.3493115417207,1.34925930435769
"34",2016-02-22,1.36926624727082,1.36922192820492
"35",2016-02-23,1.38335020838138,1.38330051719653
"36",2016-02-24,1.38729375472054,1.3872416985037
"37",2016-02-25,1.37889812586713,1.37884123811156
"38",2016-02-26,1.37744719962808,1.37740004074633
"39",2016-02-29,1.37590484997692,1.37585964353612
"40",2016-03-01,1.36979903370759,1.36974858226616
"41",2016-03-02,1.37905879746806,1.37902015163185
"42",2016-03-03,1.38676276888455,1.38673513419355
"43",2016-03-04,1.39544695215134,1.39543107746415
"44",2016-03-07,1.3959873750188,1.39597363525985
"45",2016-03-08,1.41636361695413,1.41634171023045
"46",2016-03-09,1.41735352380873,1.41733212364799
"47",2016-03-10,1.41605336690051,1.41603212545419
"48",2016-03-11,1.43100378089902,1.4309831580777
"49",2016-03-14,1.43156296763729,1.43154102036359
"50",2016-03-15,1.43344596288162,1.43342510117602
"51",2016-03-16,1.44366517150224,1.44365209807318
"52",2016-03-17,1.44897157107987,1.4489624876283
"53",2016-03-18,1.44863665300013,1.44862561186976
"54",2016-03-21,1.44862818375753,1.44861570426263
"55",2016-03-22,1.44927170015902,1.44925736914913
"56",2016-03-23,1.46312340864697,1.4631044101923
"57",2016-03-24,1.46311686099029,1.46309865822373
"58",2016-03-28,1.46327964138353,1.46325895038893
"59",2016-03-29,1.45890387179789,1.45888004822431
"60",2016-03-30,1.46113553577272,1.46111340651254
"61",2016-03-31,1.46122664280009,1.46120707697044
"62",2016-04-01,1.45725417119192,1.45723126585835
"63",2016-04-04,1.45909507391337,1.45907022939862
"64",2016-04-05,1.45915327144185,1.45912825949292
"65",2016-04-06,1.47157300076039,1.47155071912891
"66",2016-04-07,1.46866698047922,1.46864545459278
"67",2016-04-08,1.470648541951,1.47063009080152
"68",2016-04-11,1.47211239813994,1.47209555892651
"69",2016-04-12,1.48764991507063,1.48763656679143
"70",2016-04-13,1.48330794324066,1.48329318408276
"71",2016-04-14,1.49434595324351,1.49433539048806
"72",2016-04-15,1.49435665199937,1.49434552578217
"73",2016-04-18,1.50822035528277,1.508206770542
"74",2016-04-19,1.51328619442904,1.51327777001891
"75",2016-04-20,1.51054165422495,1.51053142390539
"76",2016-04-21,1.51214186903558,1.51213083280929
"77",2016-04-22,1.51490572030855,1.51489922372386
"78",2016-04-25,1.51664057108383,1.51663195386863
"79",2016-04-26,1.52420257377911,1.52419530604012
"80",2016-04-27,1.53283683168247,1.53282596191456
"81",2016-04-28,1.53011807535752,1.53010840684299
"82",2016-04-29,1.52748013064366,1.52746971706996
"83",2016-05-02,1.52409142878474,1.52407488098864
"84",2016-05-03,1.53306715288092,1.5330470075724
"85",2016-05-04,1.53987197652939,1.53984801437006
"86",2016-05-05,1.54083368162488,1.54081040375255
"87",2016-05-06,1.53823729591479,1.53821181245917
"88",2016-05-09,1.53520732123826,1.53517864799538
"89",2016-05-10,1.53240876162613,1.53237857679002
"90",2016-05-11,1.5151160137829,1.51508716259512
"91",2016-05-12,1.50869675514187,1.50866899075347
"92",2016-05-13,1.50917108104326,1.50914317003022
"93",2016-05-16,1.51321949266009,1.51318998291056
"94",2016-05-17,1.50779424723706,1.50776195695212
"95",2016-05-18,1.50685516060477,1.50682147706551
"96",2016-05-19,1.50655045846353,1.506518488249
"97",2016-05-20,1.50807504886393,1.50803945404273
"98",2016-05-23,1.51864206510851,1.51861224086577
"99",2016-05-24,1.5031163835895,1.50308145334368
"100",2016-05-25,1.50497450320757,1.50494124375863
"101",2016-05-26,1.51207486561411,1.51204457361549
"102",2016-05-27,1.50879552250689,1.5087671575722
"103",2016-05-31,1.50785118541899,1.50781844797087
"104",2016-06-01,1.50991710032224,1.50988270280389
"105",2016-06-02,1.51271038797209,1.51267390283238
"106",2016-06-03,1.51303868503543,1.51300307547081
"107",2016-06-06,1.50925770150458,1.50922126650979
