"","simfin_id","ticker","fiscal_period","fiscal_year","report_date","publish_date","restated_date","source","ttm","value_check","currency","net_income_starting_line","net_income","net_income_from_discontinued_operations","other_adjustments","depreciation_amortization","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","disposition_of_intangible_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_divestitures","cash_for_acquisition_of_subsidiaries","cash_for_joint_ventures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_discontinued_operations_investing","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_discontinued_operations_financing","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","time"
"1",378120,"COP","Q1",2015,2015-03-31,2015-05-05,2016-05-03,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516574165/0001193125-16-574165-index.htm",FALSE,TRUE,"USD",2.86e+08,2.86e+08,0,0,2.131e+09,-2.94e+08,0,0,0,-5.5e+07,0,0,0,0,0,2.068e+09,-3.159e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.55e+08,0,-3.314e+09,-9.1e+08,-5.7e+07,0,0,0,0,-3.4e+07,0,0,-1.8e+07,0,-1.019e+09,-2.265e+09,0,-2.265e+09,-1.33e+08,-2.398e+09,"2015q1"
"2",378120,"COP","Q2",2015,2015-06-30,2015-08-04,2016-08-02,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516667631/0001193125-16-667631-index.htm",FALSE,TRUE,"USD",-1.64e+08,-1.64e+08,0,0,2.329e+09,1.43e+08,0,0,0,-3.34e+08,0,0,0,0,0,1.974e+09,-2.286e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8e+08,0,-2.466e+09,-9.09e+08,2.493e+09,0,0,0,0,-1.2e+07,0,0,-1.7e+07,0,1.555e+09,1.063e+09,0,1.063e+09,8.6e+07,1.149e+09,"2015q2"
"3",378120,"COP","Q3",2015,2015-09-30,2015-11-03,2016-11-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/0001193125-16-754694-index.htm",FALSE,TRUE,"USD",-1.056e+09,-1.056e+09,0,0,2.271e+09,1.28e+08,0,0,0,5.91e+08,0,0,0,0,0,1.934e+09,-2.145e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04e+08,0,-2.249e+09,-9.22e+08,-3e+07,0,0,0,0,-2.3e+07,0,0,-1.5e+07,0,-9.9e+08,-1.305e+09,0,-1.305e+09,-9.5e+07,-1.4e+09,"2015q3"
"4",378120,"COP","Q4",2015,2015-12-31,2016-02-23,2018-02-20,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.htm",FALSE,TRUE,"USD",-3.437e+09,-3.437e+09,0,0,2.382e+09,2.875e+09,0,0,0,-2.24e+08,0,0,0,0,0,1.596e+09,-5.08e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18e+08,0,-6.26e+08,-9.23e+08,-1.1e+07,0,0,0,0,-1.3e+07,0,0,-2.8e+07,0,-9.75e+08,-5e+06,0,-5e+06,-4e+07,-4.5e+07,"2015q4"
"5",378120,"COP","Q1",2016,2016-03-31,2016-05-03,2017-05-04,"http://www.sec.gov/Archives/edgar/data/1163165/000119312517158717/0001193125-17-158717-index.htm",FALSE,TRUE,"USD",-1.456e+09,-1.456e+09,0,0,2.247e+09,-1.19e+08,0,0,0,-2.51e+08,0,0,0,0,0,4.21e+08,-1.686e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.79e+08,0,-2.065e+09,-3.13e+08,4.53e+09,0,0,0,0,-4.2e+07,0,0,-3.8e+07,0,4.137e+09,2.493e+09,0,2.493e+09,5e+06,2.498e+09,"2016q1"
"6",378120,"COP","Q2",2016,2016-06-30,2016-08-02,2017-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312517243345/0001193125-17-243345-index.htm",FALSE,TRUE,"USD",-1.058e+09,-1.058e+09,0,0,2.329e+09,-4.2e+07,0,0,0,3e+07,0,0,0,0,0,1.259e+09,-9.05e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.217e+09,0,-2.122e+09,-3.13e+08,-7.63e+08,0,0,0,0,-3e+06,0,0,-4.1e+07,0,-1.12e+09,-1.983e+09,0,-1.983e+09,-2e+07,-2.003e+09,"2016q2"
"7",378120,"COP","Q3",2016,2016-09-30,2016-11-01,2016-11-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/0001193125-16-754694-index.htm",FALSE,TRUE,"USD",-1.026e+09,-1.026e+09,0,0,2.425e+09,-1.69e+08,0,0,0,5e+07,0,0,0,0,0,1.28e+09,-8.6e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.135e+09,0,2.75e+08,-3.14e+08,-1.2e+07,0,0,0,0,-7e+06,0,0,-1.4e+07,0,-3.47e+08,1.208e+09,0,1.208e+09,1.9e+07,1.227e+09,"2016q3"
"8",378120,"COP","Q4",2016,2016-12-31,2017-02-21,2019-02-19,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.htm",FALSE,TRUE,"USD",-1.9e+07,-1.9e+07,0,0,2.061e+09,-2.89e+08,0,0,0,-3.1e+08,0,0,0,0,0,1.443e+09,-1.32e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85e+08,0,5.3e+07,-3.13e+08,-1.412e+09,0,0,0,0,-1.37e+08,0,0,-4.4e+07,0,-1.906e+09,-4.1e+08,0,-4.1e+08,-7e+07,-4.8e+08,"2016q4"
"9",378120,"COP","Q1",2017,2017-03-31,2017-05-04,2018-05-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm",FALSE,TRUE,"USD",5.99e+08,5.99e+08,0,0,1.979e+09,-7.5e+08,0,0,0,-3.8e+07,0,0,0,0,0,1.79e+09,-9.31e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.3e+07,0,-9.74e+08,-3.31e+08,-8.39e+08,0,0,0,0,-1.58e+08,0,0,-1.6e+07,0,-1.344e+09,-5.28e+08,0,-5.28e+08,2.7e+07,-5.01e+08,"2017q1"
"10",378120,"COP","Q2",2017,2017-06-30,2017-08-01,2018-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518233667/0001193125-18-233667-index.htm",FALSE,TRUE,"USD",-3.426e+09,-3.426e+09,0,0,1.625e+09,3.442e+09,0,0,0,1.1e+08,0,0,0,0,0,1.751e+09,9.687e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49e+09,0,7.197e+09,-3.31e+08,-3.24e+09,0,0,0,0,-9.8e+08,0,0,-4.8e+07,0,-4.599e+09,4.349e+09,0,4.349e+09,7.6e+07,4.425e+09,"2017q2"
