"","simfin_id","ticker","fiscal_period","fiscal_year","report_date","publish_date","restated_date","source","ttm","value_check","currency","revenue","sales_services_revenue","financing_revenue","other_revenue","cost_of_revenue","cost_of_goods_services","cost_of_financing_revenue","cost_of_other_revenue","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","provision_for_doubtful_accounts","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_investment_income_loss","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","acquired_in_process_r_d","merger_acquisition_expense","abnormal_derivatives","disposal_of_assets","early_extinguishment_of_debt","asset_write_down","impairment_of_goodwill_intangibles","sale_of_business","legal_settlement","restructuring_charges","sale_of_investments_unrealized_investments","insurance_settlement","other_abnormal_items","pretax_income_loss","income_tax_expense_benefit_net","current_income_tax","deferred_income_tax","tax_allowance_credit","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","accounting_charges_other","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","other_adjustments","net_income_common","time"
"1",378120,"COP","FY",2015,2015-12-31,2016-02-23,2018-02-20,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.htm",FALSE,TRUE,"USD",2.9564e+10,NA,NA,NA,-1.2426e+10,NA,NA,NA,1.7138e+10,NA,-2.2175e+10,-9.53e+08,NA,NA,-4.192e+09,-9.113e+09,NA,-7.917e+09,-5.037e+09,-1.4e+08,-9.2e+08,NA,NA,NA,NA,6.55e+08,1.25e+08,-5.177e+09,-2.062e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.239e+09,2.868e+09,NA,NA,NA,NA,-4.371e+09,NA,NA,NA,-4.371e+09,-5.7e+07,-4.428e+09,NA,NA,-4.428e+09,2015
"2",378120,"COP","FY",2016,2016-12-31,2017-02-21,2019-02-19,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.htm",FALSE,TRUE,"USD",2.3693e+10,NA,NA,NA,-9.994e+09,NA,NA,NA,1.3699e+10,NA,-1.7829e+10,-4.73e+08,NA,NA,-1.912e+09,-9.062e+09,NA,-6.382e+09,-4.13e+09,-9.38e+08,-1.245e+09,NA,NA,NA,NA,5.2e+07,2.55e+08,-5.068e+09,-4.62e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.53e+09,1.971e+09,NA,NA,NA,NA,-3.559e+09,NA,NA,NA,-3.559e+09,-5.6e+07,-3.615e+09,NA,NA,-3.615e+09,2016
"3",378120,"COP","FY",2017,2017-12-31,2018-02-20,2019-02-19,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.htm",FALSE,TRUE,"USD",2.9106e+10,NA,NA,NA,-1.2475e+10,NA,NA,NA,1.6631e+10,NA,-1.4177e+10,-4.27e+08,NA,NA,-9.34e+08,-6.845e+09,NA,-5.971e+09,2.454e+09,2.03e+08,-1.098e+09,NA,NA,NA,NA,7.72e+08,5.29e+08,2.657e+09,-5.272e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.615e+09,1.822e+09,NA,NA,NA,NA,-7.93e+08,NA,NA,NA,-7.93e+08,-6.2e+07,-8.55e+08,NA,NA,-8.55e+08,2017
"4",378120,"COP","FY",2018,2018-12-31,2019-02-19,2021-02-15,"https://simfin.com/pdf-extractor/74008/88",FALSE,TRUE,"USD",3.7664e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7634e+10,-4.01e+08,NA,NA,-3.69e+08,-5.956e+09,NA,-2.0908e+10,1.003e+10,-1.093e+09,-7.35e+08,NA,NA,NA,1.7e+07,NA,-3.75e+08,8.937e+09,1.036e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.973e+09,-3.668e+09,NA,NA,NA,NA,6.305e+09,NA,NA,NA,6.305e+09,-4.8e+07,6.257e+09,NA,NA,6.257e+09,2018
"5",378120,"COP","FY",2019,2019-12-31,2020-02-18,2021-02-15,"https://simfin.com/pdf-extractor/74008/88",FALSE,TRUE,"USD",3.4704e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5832e+10,-5.56e+08,NA,NA,-7.43e+08,-6.09e+09,NA,-1.8443e+10,8.872e+09,-9.09e+08,-7.78e+08,NA,NA,NA,-6.6e+07,NA,-6.5e+07,7.963e+09,1.561e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.524e+09,-2.267e+09,NA,NA,NA,NA,7.257e+09,NA,NA,NA,7.257e+09,-6.8e+07,7.189e+09,NA,NA,7.189e+09,2019
"6",378120,"COP","FY",2020,2020-12-31,2021-02-16,2021-02-16,"https://simfin.com/pdf-extractor/74008/88",FALSE,TRUE,"USD",1.8707e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.0836e+10,-4.3e+08,NA,NA,-1.457e+09,-5.521e+09,NA,-1.3428e+10,-2.129e+09,-7.47e+08,-8.06e+08,NA,NA,NA,7.2e+07,NA,-1.3e+07,-2.876e+09,-2.64e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.14e+09,4.85e+08,NA,NA,NA,NA,-2.655e+09,NA,NA,NA,-2.655e+09,-4.6e+07,-2.701e+09,NA,NA,-2.701e+09,2020
