"","symbol","date","open","high","low","close","volume","adjusted"
"1","COP",2014-01-02,70.269997,70.919998,69.529999,69.779999,4351800,54.523731
"2","COP",2014-01-03,70.080002,70.349998,69.830002,69.959999,3095000,54.664364
"3","COP",2014-01-06,70.339996,70.809998,70.019997,70.260002,4418300,54.898792
"4","COP",2014-01-07,70.25,70.489998,69.959999,70.370003,3659500,54.984737
"5","COP",2014-01-08,70.480003,70.480003,69.519997,69.690002,6405300,54.453411
"6","COP",2014-01-09,69.809998,69.93,69.129997,69.459999,4078900,54.273693
"7","COP",2014-01-10,69.620003,69.779999,68.790001,68.870003,4799400,53.812675
"8","COP",2014-01-13,68.68,68.75,67.480003,67.739998,7244000,52.929733
"9","COP",2014-01-14,67.830002,68.379997,67.660004,68.32,4783800,53.382942
"10","COP",2014-01-15,68.370003,68.699997,67.809998,68.080002,4573700,53.195412
"11","COP",2014-01-16,68.050003,68.07,67.089996,67.830002,5356700,53.000061
"12","COP",2014-01-17,68.019997,68.290001,67.5,67.510002,4852000,52.750034
"13","COP",2014-01-21,68.080002,68.269997,67.709999,68.260002,4711800,53.336052
"14","COP",2014-01-22,68.489998,68.790001,68.050003,68.370003,4100700,53.422012
"15","COP",2014-01-23,68.050003,68.589996,67.599998,67.849998,4333500,53.015694
"16","COP",2014-01-24,67.769997,67.769997,66.400002,66.57,6016100,52.015537
"17","COP",2014-01-27,66.279999,66.599998,65.639999,65.860001,5381000,51.460766
"18","COP",2014-01-28,65.949997,66.279999,65.730003,66.209999,4338000,51.734253
"19","COP",2014-01-29,66.169998,66.209999,65.339996,65.82,5671600,51.429516
"20","COP",2014-01-30,66.599998,66.650002,65.32,65.75,5527800,51.374821
"21","COP",2014-01-31,65.050003,65.480003,64.349998,64.949997,10717600,50.749733
"22","COP",2014-02-03,65.099998,65.389999,63.77,63.860001,7768000,49.898037
"23","COP",2014-02-04,64.019997,64.080002,63.450001,63.709999,6543700,49.780838
"24","COP",2014-02-05,63.68,63.810001,62.740002,63.459999,6528300,49.585499
"25","COP",2014-02-06,63.68,64.400002,63.459999,64.300003,5546800,50.241844
"26","COP",2014-02-07,64.790001,65,64.160004,64.970001,5337100,50.765347
"27","COP",2014-02-10,64.959999,64.959999,64.129997,64.580002,5854800,50.460625
"28","COP",2014-02-11,64.650002,65.699997,64.599998,65.57,5754200,51.234173
"29","COP",2014-02-12,66.629997,66.790001,65.089996,65.220001,6962800,50.96069
"30","COP",2014-02-13,64.440002,65.110001,64.230003,64.709999,5844700,51.102852
"31","COP",2014-02-14,64.660004,65.650002,64.5,65.529999,4596800,51.750412
"32","COP",2014-02-18,65.57,65.730003,65.199997,65.370003,4877100,51.624065
"33","COP",2014-02-19,65.260002,66,64.989998,65,6144900,51.331863
"34","COP",2014-02-20,64.980003,65.199997,64.870003,64.919998,6111800,51.268703
"35","COP",2014-02-21,64.989998,65.029999,64.629997,64.68,6576200,51.079159
"36","COP",2014-02-24,65,66.790001,64.980003,66.419998,8054500,52.453278
"37","COP",2014-02-25,66.300003,66.849998,66.139999,66.519997,5871500,52.532238
"38","COP",2014-02-26,66.629997,66.800003,65.830002,66.129997,5159400,52.224255
"39","COP",2014-02-27,66,66.25,65.330002,66.25,4988900,52.319008
"40","COP",2014-02-28,66.290001,66.879997,65.620003,66.5,6263300,52.516457
"41","COP",2014-03-03,66.360001,67.199997,65.980003,66.309998,6218300,52.366402
"42","COP",2014-03-04,66.800003,66.889999,66.349998,66.5,4906600,52.516457
"43","COP",2014-03-05,66.580002,67,66.25,66.300003,4671500,52.358509
"44","COP",2014-03-06,66.599998,66.669998,66.300003,66.389999,3996600,52.429573
"45","COP",2014-03-07,66.639999,67,66.309998,66.510002,4938700,52.524349
"46","COP",2014-03-10,66.400002,66.940002,66.099998,66.889999,3711400,52.824444
"47","COP",2014-03-11,67,67.389999,66.279999,66.529999,4415600,52.540138
"48","COP",2014-03-12,66.169998,66.75,66.010002,66.540001,4135300,52.548027
"49","COP",2014-03-13,66.779999,66.839996,66.089996,66.32,4531900,52.374287
"50","COP",2014-03-14,66.089996,66.709999,66.040001,66.599998,4648300,52.595413
"51","COP",2014-03-17,66.739998,67.290001,66.650002,67.290001,4663900,53.140335
"52","COP",2014-03-18,67.419998,68.120003,67.349998,68.099998,5658600,53.779995
"53","COP",2014-03-19,68.379997,68.410004,67.029999,67.5,4322600,53.306171
"54","COP",2014-03-20,67.410004,68,67.110001,67.900002,3968600,53.622059
"55","COP",2014-03-21,68.459999,68.480003,67.470001,67.480003,9094200,53.290379
"56","COP",2014-03-24,67.68,68.07,67.410004,67.559998,5339900,53.35355
"57","COP",2014-03-25,67.940002,68.470001,67.68,68.389999,5986600,54.009018
"58","COP",2014-03-26,68.709999,69.190002,68.489998,68.599998,5732100,54.174862
"59","COP",2014-03-27,68.610001,69.610001,68.610001,69.290001,6049900,54.71978
"60","COP",2014-03-28,69.43,70.400002,69.169998,70.349998,5763100,55.55687
"61","COP",2014-03-31,70.760002,70.989998,70.129997,70.349998,5020800,55.55687
"62","COP",2014-04-01,70.470001,70.669998,70.129997,70.309998,4957700,55.525291
"63","COP",2014-04-02,70.309998,71,70.25,70.889999,5672800,55.98333
"64","COP",2014-04-03,70.919998,70.919998,70.18,70.199997,5161000,55.438404
"65","COP",2014-04-04,70.830002,71,70.040001,70.220001,5520200,55.454216
"66","COP",2014-04-07,70.239998,70.239998,69.330002,69.480003,5528800,54.86982
"67","COP",2014-04-08,70.010002,70.230003,69.459999,70.07,5751200,55.335743
"68","COP",2014-04-09,70.110001,71.559998,70.07,71.540001,7536400,56.496635
"69","COP",2014-04-10,70.730003,70.830002,69.709999,69.709999,7581100,55.051453
"70","COP",2014-04-11,70.279999,71.360001,69.980003,70.870003,8390800,55.967537
"71","COP",2014-04-14,71.629997,71.629997,70.589996,71.510002,6240700,56.472954
"72","COP",2014-04-15,71.470001,73.019997,71.290001,72.940002,7615000,57.602264
"73","COP",2014-04-16,73.379997,73.870003,73.190002,73.779999,7284800,58.265617
"74","COP",2014-04-17,73.57,74.889999,73.550003,74.769997,7229700,59.047424
"75","COP",2014-04-21,74.730003,74.949997,74.199997,74.599998,6328900,58.913193
"76","COP",2014-04-22,74.690002,74.690002,73.940002,74.169998,5086300,58.573612
"77","COP",2014-04-23,74.160004,74.540001,73.949997,74.019997,5285700,58.455147
"78","COP",2014-04-24,74.419998,74.639999,73.949997,74.489998,5250300,58.826328
"79","COP",2014-04-25,74.440002,74.5,74.150002,74.400002,4658500,58.755238
"80","COP",2014-04-28,74.559998,74.830002,74.080002,74.650002,5190800,58.952679
"81","COP",2014-04-29,74.989998,75.339996,74.669998,74.68,5293400,58.976368
"82","COP",2014-04-30,75.029999,75.029999,74.169998,74.309998,6853600,58.684174
"83","COP",2014-05-01,75.010002,75.330002,74.050003,75.029999,5895900,59.252769
"84","COP",2014-05-02,74.879997,76.849998,74.870003,76.519997,9359500,60.429443
"85","COP",2014-05-05,76.400002,77.300003,76.220001,76.889999,5842700,60.721664
"86","COP",2014-05-06,77.199997,77.300003,76.639999,77.080002,5020100,60.871704
"87","COP",2014-05-07,77.620003,78.220001,77.339996,78.110001,7189300,61.685116
"88","COP",2014-05-08,77.919998,78.07,76.769997,77.010002,6709900,60.816418
"89","COP",2014-05-09,77.099998,77.650002,76.910004,77.639999,5609600,61.313942
"90","COP",2014-05-12,78.110001,78.419998,77.790001,78.410004,4979100,61.922035
"91","COP",2014-05-13,78.449997,78.82,78.239998,78.639999,5229000,62.103661
"92","COP",2014-05-14,78.739998,78.790001,78.349998,78.529999,4463000,62.016785
"93","COP",2014-05-15,78.459999,78.68,77.519997,78.110001,7914100,61.685116
"94","COP",2014-05-16,78.110001,78.239998,77.449997,78.059998,5868000,61.64563
"95","COP",2014-05-19,78.010002,78.57,77.940002,78.43,3341700,61.937824
"96","COP",2014-05-20,78.5,78.68,78.110001,78.540001,4353500,62.0247
"97","COP",2014-05-21,78.239998,78.660004,78.040001,78.529999,4484300,62.566456
"98","COP",2014-05-22,78.400002,78.75,78.139999,78.459999,3508900,62.510696
"99","COP",2014-05-23,78.529999,78.769997,78.300003,78.43,3566300,62.486813
"100","COP",2014-05-27,78.459999,79.050003,78.459999,79.040001,4175600,62.972805
"101","COP",2014-05-28,79.809998,80.540001,79.510002,79.57,6549900,63.395046
"102","COP",2014-05-29,79.489998,79.839996,78.900002,79.550003,4065600,63.379112
"103","COP",2014-05-30,79.419998,80.110001,79.209999,79.940002,5991400,63.689838
"104","COP",2014-06-02,80.209999,80.550003,79.050003,79.480003,5071900,63.323334
"105","COP",2014-06-03,79.470001,79.870003,79.279999,79.82,4551700,63.594234
"106","COP",2014-06-04,79.720001,79.989998,79.580002,79.800003,3585400,63.578293
"107","COP",2014-06-05,79.809998,80.059998,79.5,80.050003,4144600,63.777473
"108","COP",2014-06-06,80.360001,81.18,80.220001,80.839996,5409500,64.406883
"109","COP",2014-06-09,80.57,81.129997,80.400002,80.849998,3213400,64.414848
"110","COP",2014-06-10,80.830002,81.660004,80.559998,81.629997,6663400,65.036285
"111","COP",2014-06-11,81.5,82.099998,81.459999,81.949997,4538300,65.291237
"112","COP",2014-06-12,82.150002,83.239998,82.129997,82.860001,6279100,66.016251
"113","COP",2014-06-13,82.800003,83.089996,82.050003,83.080002,4374900,66.191505
"114","COP",2014-06-16,83.190002,83.830002,82.919998,83.690002,4753500,66.677536
"115","COP",2014-06-17,83.18,83.779999,82.639999,83.75,4859500,66.725342
"116","COP",2014-06-18,83.57,84.300003,83.18,84.239998,4511900,67.11573
"117","COP",2014-06-19,84.269997,84.769997,84.139999,84.769997,4083800,67.537971
"118","COP",2014-06-20,85.110001,85.459999,84.779999,85.360001,7426200,68.008064
"119","COP",2014-06-23,85.589996,86.43,85.470001,86.099998,5943500,68.597633
"120","COP",2014-06-24,86.019997,86.019997,84.790001,84.800003,8087800,67.561897
"121","COP",2014-06-25,84.650002,85.730003,84.650002,85.620003,4980600,68.215195
"122","COP",2014-06-26,85.589996,85.970001,84.559998,85.959999,4587900,68.486092
"123","COP",2014-06-27,85.75,86.059998,85.400002,86,4511900,68.517952
"124","COP",2014-06-30,85.809998,85.93,85.220001,85.730003,4045900,68.302849
"125","COP",2014-07-01,86.25,86.389999,85.639999,86.110001,3537900,68.605606
