"","simfin_id","ticker","fiscal_period","fiscal_year","report_date","publish_date","restated_date","source","ttm","value_check","currency","net_income_starting_line","net_income","net_income_from_discontinued_operations","other_adjustments","depreciation_amortization","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","disposition_of_intangible_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_divestitures","cash_for_acquisition_of_subsidiaries","cash_for_joint_ventures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_discontinued_operations_investing","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_discontinued_operations_financing","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","time"
"1",378120,"COP","FY",2015,2015-12-31,2016-02-23,2018-02-20,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.htm",FALSE,TRUE,"USD",-4.371e+09,-4.371e+09,0,0,9.113e+09,2.852e+09,0,0,0,-2.2e+07,0,0,0,0,0,7.572e+09,-8.098e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.57e+08,0,-8.655e+09,-3.664e+09,2.395e+09,0,0,0,0,-8.2e+07,0,0,-7.8e+07,0,-1.429e+09,-2.512e+09,0,-2.512e+09,-1.82e+08,-2.694e+09,2015
"2",378120,"COP","FY",2016,2016-12-31,2017-02-21,2019-02-19,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.htm",FALSE,TRUE,"USD",-3.559e+09,-3.559e+09,0,0,9.062e+09,-6.19e+08,0,0,0,-4.81e+08,0,0,0,0,0,4.403e+09,-3.583e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76e+08,0,-3.859e+09,-1.253e+09,2.343e+09,0,0,0,0,-1.89e+08,0,0,-1.37e+08,0,7.64e+08,1.308e+09,0,1.308e+09,-6.6e+07,1.242e+09,2016
"3",378120,"COP","FY",2017,2017-12-31,2018-02-20,2019-02-19,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.htm",FALSE,TRUE,"USD",-7.93e+08,-7.93e+08,0,0,6.845e+09,1.01e+09,0,0,0,1.5e+07,0,0,0,0,0,7.077e+09,9.269e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.507e+09,0,7.762e+09,-1.305e+09,-7.876e+09,0,0,0,0,-3.063e+09,0,0,-1.12e+08,0,-1.2356e+10,2.483e+09,0,2.483e+09,2.32e+08,2.715e+09,2017
"4",378120,"COP","FY",2018,2018-12-31,2019-02-19,2021-02-15,"https://simfin.com/pdf-extractor/74008/88",FALSE,TRUE,"USD",6.305e+09,6.305e+09,0,0,5.956e+09,3.8e+07,0,0,0,6.35e+08,0,0,0,0,0,1.2934e+10,-5.668e+09,0,0,0,0,0,0,0,1.62e+09,0,0,0,0,0,0,0,2.05e+08,0,-3.843e+09,-1.363e+09,-4.995e+09,0,0,0,0,-2.878e+09,0,0,-1.23e+08,0,-9.359e+09,-2.68e+08,0,-2.68e+08,-1.17e+08,-3.85e+08,2018
"5",378120,"COP","FY",2019,2019-12-31,2020-02-18,2021-02-15,"https://simfin.com/pdf-extractor/74008/88",FALSE,TRUE,"USD",7.257e+09,7.257e+09,0,0,6.09e+09,-1.664e+09,0,0,0,-5.79e+08,0,0,0,0,0,1.1104e+10,-3.624e+09,0,0,0,0,0,0,0,-2.91e+09,0,0,0,0,0,0,0,-8.4e+07,0,-6.618e+09,-1.5e+09,-8e+07,0,0,0,0,-3.53e+09,0,0,-1.19e+08,0,-5.229e+09,-7.43e+08,0,-7.43e+08,-4.6e+07,-7.89e+08,2019
"6",378120,"COP","FY",2020,2020-12-31,2021-02-16,2021-02-16,"https://simfin.com/pdf-extractor/74008/88",FALSE,TRUE,"USD",-2.655e+09,-2.655e+09,0,0,5.521e+09,2.308e+09,0,0,0,-3.72e+08,0,0,0,0,0,4.802e+09,-3.398e+09,0,0,0,0,0,0,0,-6.58e+08,0,0,0,0,0,0,0,-6.5e+07,0,-4.121e+09,-1.831e+09,4.6e+07,0,0,0,0,-8.97e+08,0,0,-2.6e+07,0,-2.708e+09,-2.027e+09,0,-2.027e+09,-2e+07,-2.047e+09,2020
